Subject,Title,Author,ISBN,Summary
Animals,Studies in Global Animal Law,Anne Peters,3662607565.0,"This open access book contains 13 contributions on global animal law, preceded by an introduction which explains key concepts and methods. Global Animal Law refers to the sum of legal rules and principles (both state-made and non-state-made) governing the interaction between humans and other animals, on a domestic, local, regional, and international level. Global animal law is the response to the mismatch between almost exclusively national animal-related legislation on the one hand, and the global dimension of the animal issue on the other hand. The chapters lay some historical foundations in the ius naturae et gentium, examine various aspects of how national and international law traditionally deals with animals as commodity; and finally suggest new legal concepts and protective strategies. The book shows numerous entry points for animal issues in international law and at the same time shifts the focus and scope of inquiry."
Animals,Life After Logging,E. Meijaard,9793361565.0,"This book presents a technical review of ecological and life history information on a range of Bornean wildlife species, aimed at identifying what makes these species sensitive to timber harvesting practices and associated impacts. It addresses three audiences: 1) those involved in assessing and regulating timber harvesting activities in Southeast Asia, 2) those involved in trying to achieve conservation goals in the region, and 3) those undertaking research to improve multipurpose forest management. This book shows that forest management can be improved in many simple ways to allow timber extraction and wildlife conservation to be more compatible than under current practices. The recommendations can also be valuable to the many governmental and non-governmental organisations promoting sustainable forest management and eco-labelling. Finally, it identifies a number of shortcomings and gaps in knowledge, which the hope can interest the scientific community and promote further research. This review is, an important scientific step toward understanding and improving sustainable forestry practices for long-term biodiversity conservation. Even in the short term, however, significant improvements can be made to improve both conservation and the efficiency of forest management, and there is no need to delay action due to a perceived lack of information. In the longer term it is expected that the recommendations from this review will be implemented, and that further research will continue to help foster an acceptable balance among the choices needed to maintain healthy wildlife populations and biodiversity in a productive forest estate."
Architecture,Everyday Streets,Agustina Martire ,1800084404.0,"Everyday streets are both the most used and most undervalued of cities public spaces. They are places of social aggregation, bringing together those belonging to different classes, genders, ages, ethnicities and nationalities. They comprise not just the familiar outdoor spaces that we use to move and interact but also urban blocks, interiors, depths and hinterlands, which are integral to their nature and contribute to their vitality. Everyday streets are physically and socially shaped by the lives of the people and things that inhabit them through a reciprocal dance with multiple overlapping temporalities. The primary focus of this book is an inclusive approach to understanding and designing everyday streets. It offers an analysis of many aspects of everyday streets from cities around the globe. From the regular rectilinear urban blocks of Montreal to the military-regulated narrow alleyways of Naples, and from the resilient market streets of London to the crammed commercial streets of Chennai, the streets in this book were all conceived with a certain level of control. Everyday Streets is a palimpsest of methods, perspectives and recommendations that together provide a solid understanding of everyday streets, their degree of inclusiveness, and to what extent they could be more inclusive."
Architecture,Erholung in siedlungsnahen Wäldern,Susanne Karn,3728141259.0,"Siedlungsnahe Wälder gehören zu den beliebtesten Naherholungsräumen und werden für Freizeitaktivitäten stark genutzt. Die Infrastruktur im Wald könnte jedoch verbessert und noch wirksamer für den Menschen ausgestaltet werden. Oftmals könnte mit wenigen Mitteln viel erreicht werden. Damit könnte ein spürbarer Beitrag für die psychische und physische Gesundheit aller Waldnutzer:innen geleistet werden. In dieser Publikation werden beispielhaft konkrete Massnahmen zur Verbesserung der Erholungsqualitäten im Wald aufgezeigt. Eine Toolbox unterstützt die Arbeit an der Erholungsplanung und es werden Handlungsempfehlungen für den Planungsprozess gegeben. Beispielhafte Erholungswälder zeigen, welchen besonderen Wert die Waldgebiete für die Bevölkerung erhalten können, wenn verschiedene Aspekte gut berücksichtigt sind. Das Buch eignet sich als anregende Ideensammlung und Wahrnehmungsschärfung bei der eigenen Arbeit im und am Wald und gibt Hinweise zur Weiterentwicklung von gesetzlichen und planerischen Grundlagen, Planungsprozessen und Fachwissen."
Architecture,Public Space in Transition,Dahae Lee,3839462320.0,"Teheran-ro in Seoul and Mediaspree area in Berlin are pristine examples for public spaces with a history of rapid change in the context of broader political and economic transitions. Dahae Lee shows that in such a transitional context, the public sector alone is incapable to provide and manage public space. Hence, it engages private sector entities in the form of privately owned public space/s (POPS). By analysing the planning instruments used for POPS in both cases, their uniqueness as well as strengths and weaknesses are revealed. Based on the results this study offers a number of policy recommendations for cities that encounter similar problems."
Architecture,Co-curating the City,Clare Melhuish,1800081820.0,"Co-curating the City explores the role of universities in the construction and mobilisation of heritage discourses in urban development and regeneration processes, with a focus on six case study sites: University of Gothenburg (Sweden), UCL East (London), University of Lund (Sweden). Roma Tre university (Rome), American University of Beirut, and Federal University of São Paulo, Brazil. The aim of the book is to expand the field of critical heritage studies in the urban domain, by examining the role of institutional actors both in the construction of urban heritage discourses and in how those discourses influence urban planning decisions or become instrumentalised as mechanisms for urban regeneration. It proposes that universities engage in these processes in a number of ways: as producers of urban knowledge that is mobilised to intervene in planning processes; as producers of heritage practices that are implemented in development contexts in the urban realm; and as developers engaged in campus construction projects that both reference heritage discourses as a mechanism for promoting support and approval by planners and the public, and capitalise on heritage assets as a resource. The book highlights the participatory processes through which universities are positioning themselves as significant institutions in the development of urban heritage narratives. The case studies investigate how universities, as mixed communities of interest dispersed across buildings and urban sites, engage in strategies of engagement with local people and neighbourhoods, and ask how this may be contributing to a re-shaping of ideas, narratives, and lived experience of urban heritage in which universities have a distinctive agency. The authors cross disciplinary and cultural boundaries, and bridge academia and practice."
Architecture,Latour for Architects,Albena Yaneva,1000546543.0,"Bruno Latour is one of the leading figures in Social Sciences today, but his contributions are also widely recognised in the arts. His theories flourished in the 1980s in the aftermath of the structuralism wave and generated new concepts and methodologies for the understanding of the social. In the past decade, Latour and his Actor-Network Theory (ANT) have gained popularity among researchers in the field of architecture. Latour for Architects is the first introduction to the key concepts and ideas of Bruno Latour that are relevant to architects. First, the book discusses critically how specific methods and insights from his philosophy can inspire new thinking in architecture and design pedagogy. Second, it explores examples from architectural practice and urban design, and reviews recent attempts to extend the methods of ANT into the fields of architectural and urban studies. Third, the book advocates an ANT-inspired approach to architecture, and examines how its methodological insights can trace new research avenues in the field, reflecting meticulously on its epistemological offerings. Drawing on many lively examples from the world of architectural practice, the book makes a compelling argument about the agency of architectural design and the role architects can play in re-ordering the world we live in. Following Latours philosophy offers a new way to handle all the objects of human and nonhuman collective life, to re-examine the role of matter in design practice, and to redefine the forms of social, political and ethical associations that bind us together in cities."
Architecture,Spatial Revolution,Christina E. Crawford,1501759205.0,"Spatial Revolution is the first comparative parallel study of Soviet architecture and planning to create a narrative arc across a vast geography. The narrative binds together three critical industrial-residential projects in Baku, Magnitogorsk, and Kharkiv, built during the first fifteen years of the Soviet project and followed attentively worldwide after the collapse of capitalist markets in 1929. Among the revelations provided by Christina E. Crawford is the degree to which outside experts participated in the construction of the Soviet industrial complex, while facing difficult topographies, near-impossible deadlines, and inchoate theories of socialist space-making. Crawford describes how early Soviet architecture and planning activities were kinetic and negotiated and how questions about the proper distribution of people and industry under socialism were posed and refined through the construction of brick and mortar, steel and concrete projects, living laboratories that tested alternative spatial models. As a result, Spatial Revolution answers important questions of how the first Soviet industrialization drive was a catalyst for construction of thousands of new enterprises on remote sites across the Eurasian continent, an effort that spread to far-flung sites in other socialist statesand capitalist welfare statesfor decades to follow. Thanks to generous funding from Emory University and its participation in TOME (Toward an Open Monograph Ecosystem), the ebook editions of this book are available as Open Access volumes from Cornell Open (cornellopen.org) and other repositories."
Architecture,Desenhando palavras e construindo geometrias,Magno Moraes Mello,8568158099.0,"O livro que ora se apresenta à estampa é fruto do trabalho de investigação de professores do Departamento de História da Universidade Federal de Minas Gerais, como também de professores de diversas universidades do Brasil e do exterior. Com o apoio da CAPES (Coordenação de Aperfeiçoamento de Pessoal de Nível Superior), esta obra é fruto da iniciativa de estudos especializados a partir da criação do grupo de pesquisa Perspectiva Pictorum, dedicado à História da Arte. O intuito é investigar, discutir e apresentar ao público, estudos sobre a pintura ilusionista entre a Europa e o Brasil, a partir dos séculos XVII ao XIX."
Architecture,Arquitectura y Urbanismo del Cusco Inka,Ricardo Mar,9898974524.0,"Cusco, la ciudad más importante del Tawantinsuyu, fue morada de la nobleza y sede del poder político y religioso. El alto nivel de su arquitectura y urbanismo ha impresionado tanto a los primeros europeos del siglo XVI, como a los académicos y turistas que hoy visitan la ciudad. Los primeros la compararon con otras ciudades de España y vieron en el Qhapaq Ñan, la red de caminos que conectaba el sistema de asentamientos andinos, un equivalente de la vasta red de caminos romanos. Afortunadamente para Cusco aún quedan en pie partes significativas de su pasado Inka. Hemos catalogado las antiguas edificaciones, identificado escondidos entre muros o cimientos de construcciones coloniales y modernas, también los que perdieron su contexto y los que aparecen durante los nuevos trabajos en calles y plazas de la ciudad contemporánea. Estos datos combinados con la información que aportan los cronistas de la Colonia, la literatura arqueológica moderna, las fuentes históricas, etnohistóricas y de la antigua capital. Partiendo de la singularidad que representa Cusco en el contexto amerciano, Arquitectura y Urbanismo del Cusco Inka se ocupa principalmente de su geografía, planeamiento y arquitectura, mostrando a través de un amplio repertorio de planos, fotografías y restituciones tridimensionales cómo pudo ser la sede del poder inkaico. El desarollo de nuevas tecnologías digitales aplicadas a la arqueología oferece la posibilidad de avanzar en el estudio de la ciudad histórica de un modo hasta ahora desconocido. La gestión de fotos áreas y satelitales, los sistemas geográficos integrados (GIS), el láser scanner, el uso de los drones o los programas de modelado 3D automatizado, abren nuevas perspectivas en la investigación de campo y en la documentación de los restos arqueológicos, estimulando nuevas aproximaciones a la realidad del urbanismo Inka."
